Configuration        Accuracy
==============================
(0.00005, 0.00100)   0.386262
(0.00005, 0.00200)   0.505868
(0.00005, 0.00500)   0.578702
(0.00005, 0.00800)   0.592164
(0.00005, 0.01000)   0.596479
(0.00010, 0.00100)   0.418709
(0.00010, 0.00200)   0.531584
(0.00010, 0.00500)   0.600449
(0.00010, 0.00800)   0.611840
(0.00010, 0.01000)   0.611495
(0.00050, 0.00100)   0.522437
(0.00050, 0.00200)   0.601657
(0.00050, 0.00500)   0.646013
(0.00050, 0.00800)   0.651363
(0.00050, 0.01000)   0.653607
