Configuration        Accuracy
==============================
(0.00005, 0.00100)   0.277356
(0.00005, 0.00200)   0.419399
(0.00005, 0.00500)   0.559199
(0.00005, 0.00800)   0.582327
(0.00005, 0.01000)   0.599413
(0.00010, 0.00100)   0.297549
(0.00010, 0.00200)   0.453227
(0.00010, 0.00500)   0.572316
(0.00010, 0.00800)   0.605281
(0.00010, 0.01000)   0.615119
(0.00050, 0.00100)   0.447705
(0.00050, 0.00200)   0.556438
(0.00050, 0.00500)   0.639972
(0.00050, 0.00800)   0.652399
(0.00050, 0.01000)   0.652054
